source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,densenet121_advanced,RFGSM,500,500,482,0.964,1.0,2026-04-19 14:18:34
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,RFGSM,500,500,47,0.094,1.0,2026-04-19 14:18:35
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,RFGSM,500,500,27,0.054,1.0,2026-04-19 14:18:36
densenet121_adv_preattacked_20260415,vgg16_advanced,RFGSM,500,500,55,0.11,1.0,2026-04-19 14:18:38
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,SINIFGSM,500,500,40,0.08,1.0,2026-04-19 14:44:23
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,SINIFGSM,500,500,55,0.11,1.0,2026-04-19 14:44:23
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,SINIFGSM,500,500,74,0.148,1.0,2026-04-19 14:44:24
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,SINIFGSM,500,500,80,0.16,1.0,2026-04-19 14:44:26
densenet121_adv_preattacked_20260415,resnet18_advanced,SINIFGSM,500,500,94,0.188,1.0,2026-04-19 14:44:26
densenet121_adv_preattacked_20260415,densenet121_advanced,SINIFGSM,500,500,447,0.894,1.0,2026-04-19 14:44:27
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,SINIFGSM,500,500,52,0.104,1.0,2026-04-19 14:44:28
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,SINIFGSM,500,500,53,0.106,1.0,2026-04-19 14:44:28
densenet121_adv_preattacked_20260415,vgg16_advanced,SINIFGSM,500,500,76,0.152,1.0,2026-04-19 14:44:30
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,SPSA,500,500,335,0.67,1.0,2026-04-19 15:05:54
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,SPSA,500,500,49,0.098,1.0,2026-04-19 15:05:54
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,SPSA,500,500,46,0.092,1.0,2026-04-19 15:05:55
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,SPSA,500,500,58,0.116,1.0,2026-04-19 15:05:57
densenet121_adv_preattacked_20260415,resnet18_advanced,SPSA,500,500,57,0.114,1.0,2026-04-19 15:05:57
densenet121_adv_preattacked_20260415,densenet121_advanced,SPSA,500,500,238,0.476,1.0,2026-04-19 15:05:59
